"Label (Grouping)","Total population 25 years and over with a Bachelor's degree or higher","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!Business","Total population 25 years and over with a Bachelor's degree or higher!!Education","Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"        Margin of Error","±14,928","±8,907","±7,278","±7,122","±6,330","±7,739","","±9,285","±6,370","±4,149","±4,061","±3,620","±5,376","±11,216","±6,943","±4,776","±5,945","±3,965","±6,522","±5,887","±3,295","±2,348","±2,043","±3,844","±2,952"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","32.6%","11.1%","16.8%","13.4%","26.1%","","(X)","38.4%","11.6%","15.2%","7.3%","27.4%","(X)","31.9%","10.3%","20.7%","11.8%","25.2%","(X)","23.5%","12.0%","9.4%","29.3%","25.7%"
"        Margin of Error","(X)","±0.6","±0.5","±0.5","±0.4","±0.6","","(X)","±1.2","±0.9","±0.9","±0.8","±1.0","(X)","±1.0","±0.7","±0.9","±0.6","±1.0","(X)","±1.3","±1.0","±0.8","±1.4","±1.2"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,104,662","892,874","190,090","340,950","184,813","495,935","","744,541","368,724","61,741","109,425","32,553","172,098","912,572","367,607","80,934","168,441","69,977","225,613","447,549","156,543","47,415","63,084","82,283","98,224"
"        Margin of Error","±19,530","±14,958","±7,762","±9,580","±7,078","±11,843","","±12,977","±11,535","±4,384","±6,278","±3,014","±6,512","±13,167","±8,854","±4,934","±6,600","±4,580","±8,338","±8,669","±4,949","±3,450","±4,347","±4,479","±4,383"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","42.4%","9.0%","16.2%","8.8%","23.6%","","(X)","49.5%","8.3%","14.7%","4.4%","23.1%","(X)","40.3%","8.9%","18.5%","7.7%","24.7%","(X)","35.0%","10.6%","14.1%","18.4%","21.9%"
"        Margin of Error","(X)","±0.6","±0.4","±0.4","±0.3","±0.5","","(X)","±1.1","±0.6","±0.8","±0.4","±0.8","(X)","±0.9","±0.5","±0.7","±0.5","±0.8","(X)","±0.9","±0.7","±0.9","±0.9","±0.9"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,023,994","530,024","54,675","187,350","46,541","205,404","","353,978","204,958","15,044","58,177","6,587","69,212","441,478","215,934","26,578","86,784","16,862","95,320","228,538","109,132","13,053","42,389","23,092","40,872"
"        Margin of Error","±12,359","±10,274","±3,622","±7,086","±3,875","±7,679","","±7,894","±7,430","±2,031","±4,816","±1,549","±4,552","±8,832","±6,619","±3,001","±4,413","±2,286","±5,245","±4,881","±4,001","±1,702","±3,211","±2,223","±2,960"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","51.8%","5.3%","18.3%","4.5%","20.1%","","(X)","57.9%","4.2%","16.4%","1.9%","19.6%","(X)","48.9%","6.0%","19.7%","3.8%","21.6%","(X)","47.8%","5.7%","18.5%","10.1%","17.9%"
"        Margin of Error","(X)","±0.8","±0.3","±0.6","±0.4","±0.7","","(X)","±1.6","±0.6","±1.3","±0.4","±1.2","(X)","±1.1","±0.7","±0.9","±0.5","±1.1","(X)","±1.5","±0.7","±1.4","±0.9","±1.2"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,080,668","362,850","135,415","153,600","138,272","290,531","","390,563","163,766","46,697","51,248","25,966","102,886","471,094","151,673","54,356","81,657","53,115","130,293","219,011","47,411","34,362","20,695","59,191","57,352"
"        Margin of Error","±12,197","±9,324","±7,362","±6,397","±5,627","±8,076","","±7,582","±6,550","±3,904","±3,972","±2,767","±4,983","±8,042","±5,802","±4,626","±4,056","±3,817","±5,640","±5,767","±2,827","±2,854","±2,577","±3,383","±2,878"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","33.6%","12.5%","14.2%","12.8%","26.9%","","(X)","41.9%","12.0%","13.1%","6.6%","26.3%","(X)","32.2%","11.5%","17.3%","11.3%","27.7%","(X)","21.6%","15.7%","9.4%","27.0%","26.2%"
"        Margin of Error","(X)","±0.8","±0.6","±0.5","±0.5","±0.7","","(X)","±1.4","±1.0","±1.0","±0.7","±1.2","(X)","±1.2","±0.9","±0.8","±0.8","±1.1","(X)","±1.2","±1.2","±1.1","±1.5","±1.1"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","305,188","85,259","39,085","56,599","59,364","64,881","","89,177","30,284","11,207","12,649","11,972","23,065","139,581","36,997","19,986","31,644","22,288","28,666","76,430","17,978","7,892","12,306","25,104","13,150"
"        Margin of Error","±10,107","±5,831","±3,439","±4,112","±3,869","±4,183","","±5,310","±3,374","±1,872","±1,836","±2,336","±2,462","±7,133","±3,885","±2,401","±3,184","±2,311","±3,196","±4,302","±1,824","±1,618","±1,954","±2,445","±1,713"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","27.9%","12.8%","18.5%","19.5%","21.3%","","(X)","34.0%","12.6%","14.2%","13.4%","25.9%","(X)","26.5%","14.3%","22.7%","16.0%","20.5%","(X)","23.5%","10.3%","16.1%","32.8%","17.2%"
"        Margin of Error","(X)","±1.5","±1.0","±1.2","±1.2","±1.2","","(X)","±3.1","±1.9","±1.9","±2.5","±2.5","(X)","±2.4","±1.5","±2.0","±1.5","±1.9","(X)","±2.1","±2.0","±2.3","±2.7","±2.1"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","141,316","51,978","10,584","30,884","16,079","31,791","","37,780","15,720","2,573","5,994","1,945","11,548","64,985","22,739","5,593","16,922","5,930","13,801","38,551","13,519","2,418","7,968","8,204","6,442"
"        Margin of Error","±6,720","±4,077","±1,769","±3,208","±1,919","±3,012","","±3,325","±2,442","±821","±1,283","±705","±1,687","±4,902","±2,899","±1,329","±2,408","±1,363","±1,976","±2,800","±1,662","±673","±1,360","±1,220","±1,251"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","36.8%","7.5%","21.9%","11.4%","22.5%","","(X)","41.6%","6.8%","15.9%","5.1%","30.6%","(X)","35.0%","8.6%","26.0%","9.1%","21.2%","(X)","35.1%","6.3%","20.7%","21.3%","16.7%"
"        Margin of Error","(X)","±2.2","±1.2","±2.1","±1.3","±1.9","","(X)","±4.7","±2.1","±3.1","±1.8","±4.1","(X)","±3.6","±1.9","±3.3","±1.9","±2.6","(X)","±3.6","±1.7","±3.0","±3.1","±2.9"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","163,872","33,281","28,501","25,715","43,285","33,090","","51,397","14,564","8,634","6,655","10,027","11,517","74,596","14,258","14,393","14,722","16,358","14,865","37,879","4,459","5,474","4,338","16,900","6,708"
"        Margin of Error","±5,524","±3,026","±2,583","±2,720","±3,117","±3,016","","±3,556","±1,895","±1,612","±1,450","±2,174","±1,881","±3,874","±2,059","±1,931","±1,931","±2,005","±2,371","±2,744","±908","±1,256","±1,118","±2,120","±1,182"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","20.3%","17.4%","15.7%","26.4%","20.2%","","(X)","28.3%","16.8%","12.9%","19.5%","22.4%","(X)","19.1%","19.3%","19.7%","21.9%","19.9%","(X)","11.8%","14.5%","11.5%","44.6%","17.7%"
"        Margin of Error","(X)","±1.7","±1.5","±1.5","±1.7","±1.7","","(X)","±3.3","±2.9","±2.7","±3.9","±3.4","(X)","±2.7","±2.4","±2.5","±2.3","±2.8","(X)","±2.4","±3.1","±2.8","±4.2","±3.0"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,326,478","433,344","147,199","263,840","193,042","289,053","","421,797","157,864","47,955","75,904","37,847","102,227","616,637","191,678","68,549","145,382","79,700","131,328","288,044","83,802","30,695","42,554","75,495","55,498"
"        Margin of Error","±15,337","±11,059","±5,708","±7,499","±5,393","±7,612","","±9,322","±6,452","±3,484","±4,083","±2,728","±4,854","±11,273","±6,246","±4,228","±6,028","±3,389","±4,580","±6,819","±3,549","±2,408","±2,306","±3,292","±3,467"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","32.7%","11.1%","19.9%","14.6%","21.8%","","(X)","37.4%","11.4%","18.0%","9.0%","24.2%","(X)","31.1%","11.1%","23.6%","12.9%","21.3%","(X)","29.1%","10.7%","14.8%","26.2%","19.3%"
"        Margin of Error","(X)","±0.7","±0.4","±0.6","±0.4","±0.5","","(X)","±1.3","±0.8","±0.9","±0.6","±1.0","(X)","±0.8","±0.6","±0.9","±0.5","±0.6","(X)","±0.9","±0.8","±0.8","±1.0","±1.0"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","616,713","262,767","35,605","144,687","49,984","123,670","","188,230","86,552","9,588","40,379","9,118","42,593","281,997","114,755","17,352","74,205","20,178","55,507","146,486","61,460","8,665","30,103","20,688","25,570"
"        Margin of Error","±9,321","±6,754","±2,949","±5,650","±2,913","±5,228","","±6,429","±4,305","±1,516","±2,974","±1,495","±3,331","±5,878","±4,111","±2,139","±4,006","±1,866","±3,051","±4,021","±2,770","±975","±1,921","±1,741","±2,260"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","42.6%","5.8%","23.5%","8.1%","20.1%","","(X)","46.0%","5.1%","21.5%","4.8%","22.6%","(X)","40.7%","6.2%","26.3%","7.2%","19.7%","(X)","42.0%","5.9%","20.6%","14.1%","17.5%"
"        Margin of Error","(X)","±0.9","±0.5","±0.9","±0.4","±0.8","","(X)","±1.8","±0.8","±1.4","±0.8","±1.4","(X)","±1.2","±0.7","±1.4","±0.6","±1.0","(X)","±1.6","±0.7","±1.2","±1.1","±1.4"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","709,765","170,577","111,594","119,153","143,058","165,383","","233,567","71,312","38,367","35,525","28,729","59,634","334,640","76,923","51,197","71,177","59,522","75,821","141,558","22,342","22,030","12,451","54,807","29,928"
"        Margin of Error","±11,080","±6,223","±4,566","±5,302","±4,574","±5,278","","±5,674","±3,749","±3,007","±2,787","±1,976","±3,247","±8,119","±3,928","±3,160","±4,385","±2,845","±3,537","±4,869","±2,172","±2,066","±1,522","±2,667","±2,215"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","24.0%","15.7%","16.8%","20.2%","23.3%","","(X)","30.5%","16.4%","15.2%","12.3%","25.5%","(X)","23.0%","15.3%","21.3%","17.8%","22.7%","(X)","15.8%","15.6%","8.8%","38.7%","21.1%"
"        Margin of Error","(X)","±0.7","±0.6","±0.7","±0.6","±0.7","","(X)","±1.4","±1.2","±1.1","±0.8","±1.3","(X)","±0.9","±0.9","±1.2","±0.9","±0.9","(X)","±1.3","±1.4","±1.1","±1.6","±1.3"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","115,618","38,978","13,686","17,529","19,514","25,911","","34,170","11,665","3,981","5,447","3,916","9,161","51,568","17,054","6,821","8,463","8,447","10,783","29,880","10,259","2,884","3,619","7,151","5,967"
"        Margin of Error","±6,783","±3,271","±2,328","±2,246","±2,969","±3,273","","±3,046","±2,038","±1,142","±1,218","±1,422","±2,009","±4,567","±2,251","±1,552","±1,554","±1,695","±1,855","±2,756","±1,485","±810","±842","±1,424","±1,456"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","33.7%","11.8%","15.2%","16.9%","22.4%","","(X)","34.1%","11.7%","15.9%","11.5%","26.8%","(X)","33.1%","13.2%","16.4%","16.4%","20.9%","(X)","34.3%","9.7%","12.1%","23.9%","20.0%"
"        Margin of Error","(X)","±2.5","±1.9","±1.8","±2.1","±2.4","","(X)","±5.2","±3.2","±3.6","±3.9","±5.0","(X)","±3.6","±2.7","±2.9","±2.5","±3.2","(X)","±4.4","±2.6","±2.8","±4.2","±3.9"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","56,120","24,543","4,166","10,230","6,667","10,514","","15,337","6,177","1,230","3,387","1,354","3,189","24,249","10,717","2,367","4,322","2,851","3,992","16,534","7,649","569","2,521","2,462","3,333"
"        Margin of Error","±4,058","±2,428","±1,399","±1,659","±1,746","±1,837","","±1,945","±1,343","±761","±873","±818","±1,151","±2,999","±1,636","±1,077","±1,163","±1,246","±1,023","±1,691","±1,344","±318","±664","±805","±944"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","43.7%","7.4%","18.2%","11.9%","18.7%","","(X)","40.3%","8.0%","22.1%","8.8%","20.8%","(X)","44.2%","9.8%","17.8%","11.8%","16.5%","(X)","46.3%","3.4%","15.2%","14.9%","20.2%"
"        Margin of Error","(X)","±3.8","±2.3","±2.7","±2.7","±3.0","","(X)","±7.5","±4.9","±5.5","±5.1","±6.6","(X)","±5.9","±3.8","±4.7","±4.4","±4.0","(X)","±6.6","±1.9","±3.9","±4.6","±5.0"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,498","14,435","9,520","7,299","12,847","15,397","","18,833","5,488","2,751","2,060","2,562","5,972","27,319","6,337","4,454","4,141","5,596","6,791","13,346","2,610","2,315","1,098","4,689","2,634"
"        Margin of Error","±3,950","±1,828","±1,491","±1,379","±1,957","±2,430","","±2,099","±1,179","±916","±833","±962","±1,468","±2,759","±1,365","±1,052","±968","±1,184","±1,442","±1,708","±690","±756","±456","±1,094","±804"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","24.3%","16.0%","12.3%","21.6%","25.9%","","(X)","29.1%","14.6%","10.9%","13.6%","31.7%","(X)","23.2%","16.3%","15.2%","20.5%","24.9%","(X)","19.6%","17.3%","8.2%","35.1%","19.7%"
"        Margin of Error","(X)","±2.7","±2.5","±2.3","±2.8","±3.3","","(X)","±5.7","±4.5","±4.5","±4.5","±6.8","(X)","±4.3","±3.7","±3.3","±3.5","±4.6","(X)","±5.1","±5.3","±3.3","±6.4","±5.2"
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","683,894","183,174","85,959","198,384","119,941","96,436","","214,728","58,976","36,936","54,806","25,127","38,883","329,897","88,168","37,102","110,841","52,944","40,842","139,269","36,030","11,921","32,737","41,870","16,711"
"        Margin of Error","±14,546","±8,909","±5,360","±8,611","±6,154","±5,341","","±9,303","±5,338","±4,105","±5,515","±3,519","±3,846","±9,598","±6,234","±3,436","±5,855","±4,556","±3,580","±5,471","±3,012","±1,934","±3,394","±3,749","±2,041"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","26.8%","12.6%","29.0%","17.5%","14.1%","","(X)","27.5%","17.2%","25.5%","11.7%","18.1%","(X)","26.7%","11.2%","33.6%","16.0%","12.4%","(X)","25.9%","8.6%","23.5%","30.1%","12.0%"
"        Margin of Error","(X)","±1.1","±0.7","±1.2","±0.8","±0.8","","(X)","±2.2","±1.7","±2.2","±1.6","±1.7","(X)","±1.7","±0.9","±1.5","±1.2","±1.1","(X)","±2.1","±1.3","±2.2","±2.3","±1.4"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","254,924","89,168","22,200","79,468","26,842","37,246","","83,850","28,325","10,947","22,413","5,936","16,229","114,059","40,998","8,966","38,418","10,818","14,859","57,015","19,845","2,287","18,637","10,088","6,158"
"        Margin of Error","±8,347","±5,845","±2,971","±5,421","±3,245","±3,581","","±5,647","±3,495","±2,426","±3,599","±1,870","±2,722","±5,298","±3,936","±1,534","±3,325","±1,815","±2,271","±3,558","±1,961","±923","±2,325","±1,851","±1,443"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","35.0%","8.7%","31.2%","10.5%","14.6%","","(X)","33.8%","13.1%","26.7%","7.1%","19.4%","(X)","35.9%","7.9%","33.7%","9.5%","13.0%","(X)","34.8%","4.0%","32.7%","17.7%","10.8%"
"        Margin of Error","(X)","±1.9","±1.0","±1.9","±1.3","±1.4","","(X)","±3.5","±2.6","±3.7","±2.3","±3.2","(X)","±2.8","±1.3","±2.6","±1.5","±2.0","(X)","±3.1","±1.6","±3.3","±2.9","±2.6"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","428,970","94,006","63,759","118,916","93,099","59,190","","130,878","30,651","25,989","32,393","19,191","22,654","215,838","47,170","28,136","72,423","42,126","25,983","82,254","16,185","9,634","14,100","31,782","10,553"
"        Margin of Error","±9,638","±5,892","±4,380","±6,309","±5,123","±4,324","","±6,975","±3,563","±3,183","±3,890","±3,233","±3,369","±7,392","±4,069","±3,249","±4,720","±3,789","±2,896","±3,852","±2,322","±1,658","±1,994","±2,859","±1,454"
